"Page URL",Issues,"Canonical URL","Page HTTP status code",Indexable,"Indexability status","Referring pages",Keywords,"URL protocol","Blocked by robots.txt",Title,"Title length","Description length",H1,"H1 length","Single H1","Duplicate H1",H2,"H2 length","Single H2","Refresh redirect time",Nofollow/Dofollow,Inlinks,"Inlinks dofollow","Internal outlinks","External outlinks"
https://top-5-pct.replit.app/custom-apparel/printing-options/dtf-transfers,1,https://top-5-pct.replit.app/custom-apparel/printing-options/dtf-transfers,404,No,"Non-200 status code",2,,https,No,"Page Not Found | Top 5 Percent, LLC | Top 5 Percent, LLC",56,99,"Page Not Found",14,Yes,No,"Your Cart",9,No,,Dofollow,2,2,149,7
https://top-5-pct.replit.app/custom-apparel/specialty-materials/rhinestone-apparel,1,https://top-5-pct.replit.app/custom-apparel/specialty-materials/rhinestone-apparel,404,No,"Non-200 status code",1,,https,No,"Page Not Found | Top 5 Percent, LLC | Top 5 Percent, LLC",56,99,"Page Not Found",14,Yes,No,"Your Cart",9,No,,Dofollow,1,1,149,7
